,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/919907582389614653?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688481896_UsZCbUk1mmtPvuuI&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Condo in San Miguel Chapultepec,artístico y silencioso  Ideal para trabajo remoto,2 beds,￥366 night￥366 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4087,-99.1859
1,/rooms/616098702325784959?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481896_8RSZsgi0iw%2F31PHf&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Condo in San Miguel Chapultepec,Oasis San Miguel 2,2 beds,￥420 night￥420 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4064,-99.1882
2,/rooms/48682979?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688481896_y1TW4Fa3J%2BEPZMz8&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Condo in San Miguel Chapultepec,Suite Bosque Chapultepec,1 queen bed,￥433 night￥433 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41181,-99.18781
3,/rooms/32381598?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481896_x3rkmFMImZfPDmMn&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Apartment in Observatorio,"Parking space, sanitized & pet friendly (303)",1 bed,￥449 night￥449 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40796,-99.1935
4,/rooms/926451848961231955?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-14&source_impression_id=p3_1688481896_WX%2BgkDuZKrUFxDjx&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Apartment in San Miguel Chapultepec,Bohemian Chic: Enchanting 2BR Haven in Chapultepec,2 beds,￥364 night￥364 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41165,-99.19186
5,/rooms/644030923007367047?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688481896_tX%2FVQUI05ebnb6T0&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Apartment in Condesa,Chic 2BR wBalconyPoolGym,2 beds,￥870 night￥870 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4099,-99.1798
6,/rooms/926403525059849413?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688481896_Kdmsl46aZ1B1BwNV&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Home in San Miguel Chapultepec,Stylish house with private pool,5 beds,"￥1,328 night￥1,328 per night",https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4071,-99.1875
7,/rooms/688527736425611965?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688481896_1OdkvT%2FZeRUfno8V&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Boutique hotel in San Miguel Chapultepec,1800 Mexican Quinta in the heart of the city,1 queen bed,￥378 night￥378 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40723,-99.18898
8,/rooms/686368959157773079?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688481896_GRHjdsaEy3I3oOA8&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Loft in Observatorio,Loft designed to rest and enjoy,1 bed,￥481 night￥481 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40756,-99.19316
9,/rooms/50157409?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688481896_n27zEAC0fmnEnbx4&previous_page_section_name=1000&federated_search_id=6adf74ea-872e-4eaf-955f-a6ecfdb29bba,Condo in San Miguel Chapultepec,Stylish apartment condesa - Chapultepec,5 beds,￥909 night￥909 per night,https://www.airbnb.com/s/observatorio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40814,-99.18972
