,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/882062364958465649?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688455495_kr1BnkIvxntw39OO&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Condo in Mexico City,"Green Bubble *Acogedor, céntrico y práctico*",2 beds,"$49 $42 night$42 per night, originally $49",https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.394,-99.1881
1,/rooms/36799495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688455495_Ps3x6YYvp20s04UN&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Loft in Mexico City,Workspace with High-Speed Internet in Mexico City,2 beds,$42 night$42 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3926,-99.1878
2,/rooms/39587423?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-25&source_impression_id=p3_1688455495_7C6541lX1hFhiFd1&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Room in CDMX,Comfortable and quiet room,Stay with Carmen,$24 night$24 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3924,-99.1878
3,/rooms/815220647077950090?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688455495_0lUsHgwmVjDy8EUw&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Apartment in Mexico City,Experience Mexico City like a Local,2 beds,$35 night$35 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39246,-99.18274
4,/rooms/902307854159569282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688455495_MeV2KP6zFhuPRYx7&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Apartment in Mexico City,Bonito dpto cerca Sn Pedro Pinos,2 beds,$44 night$44 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.393717317639265,-99.18687388235846
5,/rooms/35832001?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688455495_iLtGPF80zp4RUWB9&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Condo in Mexico City,COZY APT close to WTC w/private roof garden,2 queen beds,$55 night$55 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39019,-99.18555
6,/rooms/757992345207067758?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688455495_ccMH3BlF8Xo0HtAC&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Loft in Mexico City,Comodidad + Balcón & Terraza / 14 minutos Condesa,1 bed,$34 night$34 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.396507391049255,-99.19043281363034
7,/rooms/870683905981031575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-03&check_out=2023-08-08&source_impression_id=p3_1688455495_ZlxByY08%2FIiRdIUO&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Apartment in Mexico City,"Apartment Revolucion-Great location, security 24/7",2 double beds,$35 night$35 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3952,-99.186
8,/rooms/41273057?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688455495_phLcmr7yUM7y%2BXdP&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Room in Mexico City,Stay with Ameyalli,Stay with Ameyalli,$18 night$18 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39069,-99.18356
9,/rooms/775458096849469055?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688455495_0qkDXgCCXU5ExJe%2F&previous_page_section_name=1000&federated_search_id=e7bc4548-aaa1-443d-9401-4cd6add1f75e,Room in Mexico City,Stay with Andrea,Stay with Andrea,$29 night$29 per night,https://www.airbnb.com/s/ocho-de-agosto--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3926,-99.1891
