,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/23169730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688464678_w4n7%2BSUfzzCxGEWq&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Guest suite in Mexico City,Bungalow.,1 double bed,$262 HKD night$262 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48636,-99.14442
1,/rooms/715882997898897852?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688464678_qFVCqBmBRr15QbAP&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Hotel in Mexico City,Private room near the North Central,1 king bed,$403 HKD night$403 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47558,-99.13872
2,/rooms/40491650?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688464678_2lkTn65WgsRu03Vv&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Loft in Gustavo A Madero,Myloftmx Suite Maria Emilia,1 double bed,"$517 HKD $471 HKD night$471 HKD per night, originally $517 HKD",https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47696,-99.13372
3,/rooms/715856288057883575?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688464678_sqgJ56YvFOmxhyqc&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Hotel in Mexico City,Private room with Jacuzzi in CDMX,1 king bed,$706 HKD night$706 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47525,-99.13722
4,/rooms/44449617?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688464678_%2BVg9W0Qrnj9SmfkZ&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Mexico City,Mexico City cozy apartment w/balcony,2 beds,$414 HKD night$414 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48998,-99.13254
5,/rooms/770960634780706149?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688464678_a3Ga9sSscBJ%2FECzG&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Mexico City,1 Acogedor depto al norte de Cdmx,1 bed,$240 HKD night$240 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4851,-99.1469
6,/rooms/815897621998911270?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688464678_%2FH%2BIuEPAB%2FG3QU2o&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Home in Mexico City,Downtown house in Linda Vista,4 beds,"$438 HKD $340 HKD night$340 HKD per night, originally $438 HKD",https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4868,-99.1385
7,/rooms/35428119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688464678_g%2B%2FxTUnPpF57rYPe&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Home in Mexico City,Aunt's house,2 beds,$366 HKD night$366 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48808,-99.14839
8,/rooms/39225472?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688464678_XX6gN%2BuJqCYqjgkR&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Loft in Mexico City,Loft Mexico City,2 beds,$455 HKD night$455 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4865,-99.1279
9,/rooms/40751900?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-23&source_impression_id=p3_1688464678_oqtJ8i2yJc7b8%2BMf&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Mexico City,Lindavista mega location.,2 beds,$422 HKD night$422 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49047,-99.133
10,/rooms/42817158?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688464678_n0ZkVaQzYeLtzHUG&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Condo in Mexico City,Nice and comfortable apartment.,2 beds,$265 HKD night$265 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4693,-99.14996
11,/rooms/42410361?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688464678_u5uwV%2BINEbyPVjNn&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Condo in Mexico City,"Apartment in CDMX, North Zone",2 beds,$575 HKD night$575 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48633,-99.1489
12,/rooms/42410623?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688464678_IGOmSAEvDVZgVRB8&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Condo in Mexico City,"Department in CDMX, North Area",5 beds,$706 HKD night$706 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48595,-99.14914
13,/rooms/723129311672322360?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-13&check_out=2023-08-18&source_impression_id=p3_1688464678_m0ziYLv1PJBeGiYR&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Condo in Mexico City,"Beautiful and small condo, great location",1 double bed,$240 HKD night$240 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.47512,-99.14494
14,/rooms/33592353?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688464678_XQMg5Koo3raIo6SO&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Room in Mexico City,SEPARATE ROOM FOR 1 PERSON IN CDMX,Stay with Paula,$116 HKD night$116 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49221,-99.13927
15,/rooms/34894333?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688464678_j7kdOCt9Q8x1vuJ1&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Colonia Vallejo Alcaldía Gustavo a Madero,Centrally located Mexico City Department,2 beds,$403 HKD night$403 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46627,-99.13891
16,/rooms/734989770836824132?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688464678_QnkvAR%2Bk70RGP%2FWb&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Mexico City,Hermoso depto en residencial privado zona céntrica,3 beds,$327 HKD night$327 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49515,-99.14302
17,/rooms/924810264094591091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688464678_ObyPbrfu9yOCyB69&previous_page_section_name=1000&federated_search_id=9824e2df-19bc-4c39-a7ad-bd72b9d20464,Apartment in Mexico City,Panoramic departament Mexico cty,3 beds,$502 HKD night$502 HKD per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46748,-99.17601
18,/rooms/42410623?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688464710_Zlc3JdSdDrrEe6si&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Condo in Mexico City,"Department in CDMX, North Area",5 beds,$79 night$79 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.48595,-99.14914
19,/rooms/547925113240997383?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464710_VMRvsSbaL%2FJEXc%2FI&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Room in Lindavista,Boutique Suite at Lindavista CdMx,Stay with Nay,"$33 $30 night$30 per night, originally $33",https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.49844,-99.12633
20,/rooms/46455342?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688464710_2xyaxBAMnsJ7IW1Y&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Apartment in Mexico City,Versatile Mexico City Department,4 beds,$56 night$56 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.49058,-99.17366
21,/rooms/48446499?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-18&source_impression_id=p3_1688464710_HBc4cKqfCmUQXWXy&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Hotel in Mexico City,Room with private Jacuzzi. in North Central,1 king bed,$51 night$51 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.47557337643832,-99.13896188209438
22,/rooms/714552737912115967?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464710_EOUatd9ECMd9iSjg&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Hotel in Mexico City,Central Lodging in CDMX,1 king bed,$56 night$56 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.47371,-99.13727
23,/rooms/12339895?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688464710_dy4KYmRosxHZwhlp&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Room in Lindavista,R.L.1,Stay with Jose Jaime,$18 night$18 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4864,-99.1281
24,/rooms/663763626410629923?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688464710_37MhZiiBhLQeqyK5&previous_page_section_name=1000&federated_search_id=14761c78-c4ef-4c69-bc0a-e1a7ee5ffbfb,Apartment in Mexico City,Depa Nuevo Azcapo /Hospital la raza,1 single bed,$33 night$33 per night,https://www.airbnb.com/s/panamericana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.467305618408556,-99.1487959834431
