,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/41100220?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688441712_45o%2BujKz7L4B8ifH&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,102 - STYLISH LOFT near WTC With ROOF TOP,1 queen bed,"781 kr SEK night781 kr SEK per night · 5,465 kr SEK total5,465 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38555,-99.1813
1,/rooms/36170033?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688441712_wW%2BX8aDpF23PaSvA&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Brand New PH with Private Rooftop @ WTC ⭐️⭐️⭐️⭐️⭐️,3 beds,"850 kr SEK night850 kr SEK per night · 4,246 kr SEK total4,246 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38706,-99.18082
2,/rooms/916736927346528395?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688441712_qRuJ9TyFVNZ2KVHk&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Vigilancia 24hrs Nápoles. WTC,2 beds,"946 kr SEK night946 kr SEK per night · 4,727 kr SEK total4,727 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38594,-99.17981
3,/rooms/591456273344810858?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688441712_2pOd8NZQbBfyREM9&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Hermoso departamento  cerca del World Trade Center,1 bed,"615 kr SEK night615 kr SEK per night · 3,072 kr SEK total3,072 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3871,-99.1795
4,/rooms/697204531477319968?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-21&source_impression_id=p3_1688441712_%2FCNoIHjCU6d1DFc6&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Condo in Nápoles,"New apartment with gym, pool and jacuzzi",2 beds,"1,047 kr SEK 934 kr SEK night934 kr SEK per night, originally 1,047 kr SEK · 6,534 kr SEK total6,534 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38587,-99.18103
5,/rooms/48731322?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688441712_2AGmMZ1X5X1wrXcK&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,"Comfortable and central apartment, WiFi, parking",3 beds,"995 kr SEK night995 kr SEK per night · 4,971 kr SEK total4,971 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38617,-99.17925
6,/rooms/28956388?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688441712_%2Bg%2Bnsrba7hEqoObJ&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Amplio departamento con estacionamiento cerca WTC,4 beds,"1,299 kr SEK night1,299 kr SEK per night · 6,492 kr SEK total6,492 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3856,-99.18
7,/rooms/766068872704118130?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688441712_kG1OvujdxR9KdFRP&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Enjoy the city in our urban loft,2 beds,"1,016 kr SEK night1,016 kr SEK per night · 5,080 kr SEK total5,080 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38695,-99.17622
8,/rooms/20810614?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688441712_EOtlBPkdgKcF0gt3&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Comfortable private apartment in Col. Naples,1 double bed,"576 kr SEK night576 kr SEK per night · 2,879 kr SEK total2,879 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3863,-99.18
9,/rooms/36553196?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1688441712_GqxyE%2B4tl%2BvKEPVR&previous_page_section_name=1000&federated_search_id=bb1c1e34-b8a4-4107-91fc-0ca07fc13c32,Apartment in Nápoles,Lovely apartment in La Naples,2 queen beds,"830 kr SEK night830 kr SEK per night · 4,147 kr SEK total4,147 kr SEK totalShow price breakdown",https://www.airbnb.com/s/parque-residencial-san-antonio--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38513,-99.17805
