,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688477292_3cnaKAeM7xkr0dNE&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,$450 night$450 per night,https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
1,/rooms/881238784886784781?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688477292_4%2FERW8VyudNLNmLN&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Apartment in Del Valle Norte,Casa KM: Incredible luxury PH with private rooftop,3 beds,"$102 $82 night$82 per night, originally $102",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.398304393266635,-99.16683242045889
2,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688477292_8I3Du1FlGgQTUwWQ&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,$366 night$366 per night,https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
3,/rooms/791576178548599016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688477292_QrhOwmQaXIs75wef&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Apartment in Mexico City,PH w/private terrace@ Roma Norte,2 beds,"$210 $137 night$137 per night, originally $210",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.415,-99.1578
4,/rooms/919823517186134691?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-21&source_impression_id=p3_1688477292_SvHMES7Eu3MLWcCk&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Home in Mexico City,"Duplex, 2 joint houses. 10Br, 7.5 bath, 22 guest",11 beds,"$878 $702 night$702 per night, originally $878",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.431522615899212,-99.19118297468279
5,/rooms/38932976?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688477292_EBiTyu55%2B6mH5BAL&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Condo in Mexico City,Wonderful penthouse featured in ELLE Decoration,1 king bed,"$169 $112 night$112 per night, originally $169",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40898,-99.17228
6,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688477292_I1g%2B6S0ozQ0w%2BHKd&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Condo in Mexico City,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$182 $110 night$110 per night, originally $182",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
7,/rooms/912486719336415205?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688477292_99SWtk3MbmADWR2x&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Home in Mexico City,Designed House with 9 BR and HUGE Terrace /Condesa,12 beds,$337 night$337 per night,https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4076,-99.1717
8,/rooms/54112595?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688477292_eKvnGUkSQZzb9TT5&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Home in Mexico City,Trendy entire 1900s house exquisitely decorated.,3 beds,"$665 $537 night$537 per night, originally $665",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41973,-99.16333
9,/rooms/892767811385183595?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-23&source_impression_id=p3_1688477292_JOG26xteele%2FS3DK&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Home in Mexico City,Mr. W | Luxury 3BR House w/Roof,4 beds,"$650 $460 night$460 per night, originally $650",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.413590135392372,-99.17536405791675
10,/rooms/14058536?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688477292_F%2BkCEvNMI1SK3lD8&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Home in Mexico City,Casa José Clemente Orozco Coyoacán,3 beds,$199 night$199 per night,https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35618,-99.16593
11,/rooms/796270239788243403?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688477292_b%2BWhbgrTPg0FLijU&previous_page_section_name=1000&federated_search_id=0d46f4e9-3e1f-4aa0-b7c5-11ce92454870,Condo in Mexico City,Hermoso apartamento con jardín,2 beds,"$76 $68 night$68 per night, originally $76",https://www.airbnb.com/s/peralvillo-ii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4169,-99.1078
