,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/922595280375059097?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688419293_3rVZKBSfbt4f%2BUXQ&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Condo in Portales Norte,Cosy LOFT Portales,1 bed,"¥ 6,734 night¥ 6,734 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3698,-99.1465
1,/rooms/832727906834901559?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688419293_ynb1t5O%2BCKBjq4f%2F&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Apartment in Portales Norte,My gorgeous and adored apartment,2 beds,"¥ 10,391 night¥ 10,391 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3728,-99.1463
2,/rooms/50142166?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688419293_GkhX60JxQBnhC5IE&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Condo in Portales Norte,Cozy apartment in the heart of Narvarte,3 beds,"¥ 11,545 night¥ 11,545 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37388,-99.1533
3,/rooms/20126097?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688419293_dOIQOhEkL5VIYilE&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Apartment in Portales Norte,Confortable deparment in a central location,2 beds,"¥ 5,791 night¥ 5,791 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36608,-99.14648
4,/rooms/50287230?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688419293_evK2FvqCUZRHvf1o&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Apartment in Portales Norte,Villa Basilio is a nice place to get to know  cdmx,1 bed,"¥ 3,403 night¥ 3,403 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37227,-99.1437
5,/rooms/734360055081482208?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-12&source_impression_id=p3_1688419293_KQbBZCp35cknGQV2&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Loft in Portales Sur,Amazing loft near Coyoacan,1 bed,"¥ 9,547 night¥ 9,547 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36475,-99.14996
6,/rooms/849970665081876095?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688419293_I3f2R6XVVdJmfrbi&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Room in Portales Sur,Bedroom in Portales,Stay with Fátima,"¥ 2,117 night¥ 2,117 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3665,-99.1516
7,/rooms/787057223461500692?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688419293_Ut1y1B6SEOelkn3Z&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Home in Portales Norte,Beautiful house in Narvarte-Portales!,5 beds,"¥ 10,679 ¥ 9,455 night¥ 9,455 per night, originally ¥ 10,679",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37,-99.1539
8,/rooms/907182134883267769?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688419293_mPESONgGwZ%2BFNQ80&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Room in Portales Sur,Nomad Feeling Zapata 2 - Co-Living & Co-Working,Stay with Maria,"¥ 5,605 ¥ 4,648 night¥ 4,648 per night, originally ¥ 5,605",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36663,-99.15243
9,/rooms/42298692?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688419293_ZCvt7EZq0nQYd%2BDJ&previous_page_section_name=1000&federated_search_id=6ce9256e-c27b-4e17-8598-a8bef6b4d561,Condo in Portales Sur,Bello Depto. ¡-20% Julio y Agosto! Zona Segura,3 beds,"¥ 6,395 night¥ 6,395 per night",https://www.airbnb.com/s/portales-iii--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3662,-99.1564
