,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/50210390?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688475076_rFYxeQh2uFiipzpU&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Condo in Naucalpan de Juárez,Dream in Quetzalcoatl Nest 7,3 beds,$366 night$366 per night,https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4788,-99.27809
1,/rooms/595089418733397717?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688475076_ngtUEyHzjeKXLApZ&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Hut in Mexico City,Luciérnaga,1 bed,$81 night$81 per night,https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34648,-99.29563
2,/rooms/10153978?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-07-31&source_impression_id=p3_1688475076_RR%2Fu1wmFfXN3E7Kj&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Condo in Naucalpan de Juárez,Come & Dream in Quetzalcoatl`s Nest,5 beds,$450 night$450 per night,https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48001,-99.27785
3,/rooms/42667882?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688475076_PZQfkAMnLfzXMu9y&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Apartment in Mexico City,"The Purple Jay, NEW Flat with Amazing Street Views",1 queen bed,"$92 $78 night$78 per night, originally $92",https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.417929360522628,-99.16053096235056
4,/rooms/752382913081298221?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688475076_BPl6Wa%2Bgqk5lTmya&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Place to stay in Mexico City,Charming 1BR Suite w/ Kitchen | Polanco,2 beds,"$147 $86 night$86 per night, originally $147",https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4298,-99.2041
5,/rooms/782740108392089634?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688475076_zGOsoSNiLNtdD80Y&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Apartment in Mexico City,Sonder Aria | One-Bedroom Apartment,1 king bed,$72 night$72 per night,https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40429,-99.16753
6,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688475076_G2Yj7kLaAWezRlTN&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Condo in Mexico City,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$182 $110 night$110 per night, originally $182",https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
7,/rooms/24893426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688475076_FJc7zs%2B9CTwo6UhV&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Loft in Mexico City,"Hip Minimalistic Loft at Roma Norte Gym, AC, 24/7",2 beds,"$123 $109 night$109 per night, originally $123",https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41766,-99.15786
8,/rooms/7957730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688475076_VAFTSt7ZQfqZlrFt&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Loft in Mexico City,Colonial Loft in San Angel,2 beds,$49 night$49 per night,https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3485,-99.18429
9,/rooms/plus/13505249?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688475076_LOVX6K1naEnG0C2m&previous_page_section_name=1000&federated_search_id=d5f5d3b6-c569-4f64-8402-f858c01a08a0,Apartment in Mexico City,"Modern, Industrial Apartment with Bamboo Garden",1 queen bed,"$106 $90 night$90 per night, originally $106",https://www.airbnb.com/s/portales-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.409706755213325,-99.1718380981773
