,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/915803408398571765?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688470490_6c6k7ezAe1HtNWXI&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Apartment in Ensenada,Contemporary Deluxe New Condo,2 beds,"฿3,595 night฿3,595 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.867001655543767,-116.60530657462698
1,/rooms/48022653?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688470490_HlbpjpJkytg8GnT3&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Home in Ensenada,Cozy Vacation House in Ensenada Mexico,3 queen beds,"฿2,928 night฿2,928 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.87227,-116.60248
2,/rooms/662486361313527035?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688470490_L1OeiU9yqanE%2Bp%2F8&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Guesthouse in Ensenada,The Tree House,1 bed,"฿1,225 night฿1,225 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.8717,-116.5974
3,/rooms/760791031636269980?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688470490_JG8KLZgC5hVmss1a&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Guest suite in Ensenada,Fantastic view,2 queen beds,"฿2,420 night฿2,420 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.872,-116.5973
4,/rooms/600263475601437072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688470490_arMKhlIUOJzgvYAC&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Apartment in Ensenada,"Lovely 1-bedroom serviced apartment, free parking",1 queen bed,"฿1,921 night฿1,921 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.86927,-116.59637
5,/rooms/852181005385003560?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688470490_GPxjd518gWQWKBet&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Apartment in Ensenada,Peaceful apartment w/garage in downtown area,1 bed,"฿2,027 night฿2,027 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.86973,-116.59598
6,/rooms/47722578?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688470490_yRR%2FOLmiw9%2B0B7xt&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Apartment in Ensenada,"NEW! APARTMENT ""COMFORT"" downtown area.",2 queen beds,"฿1,421 night฿1,421 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.87491,-116.61265
7,/rooms/34978779?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688470491_EGvo0an%2Bz8dB7DTp&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Home in Ensenada,Yellow house with backyard for BBQ,2 beds,"฿4,104 night฿4,104 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.86847,-116.60433
8,/rooms/903485926655445264?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688470491_dbyWeugSTkk5Ezwh&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Apartment in Ensenada,Brand New Industrial Apartment,2 beds,"฿3,829 night฿3,829 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.86757,-116.60496
9,/rooms/603151679182381761?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688470491_zNBSmGFSBWWuhmj6&previous_page_section_name=1000&federated_search_id=9d2f0be2-f3f0-4127-9e6a-92d6e95cc16c,Condo in Ensenada,Lovely contemporary  1 bedroom condo Downtown,2 beds,"฿2,586 night฿2,586 per night",https://www.airbnb.com/s/pro-hogar-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,31.86606,-116.6128
