,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/616752987938274325?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688468817_SR8ZJFeaG3f46ShB&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Guesthouse in Mexico City,Comfortable and central private apartment (A),2 single beds,$40 night$40 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3877,-99.1315
1,/rooms/881909415945452930?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688468817_N1LhRNMXM3sZ9pEW&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Apartment in Mexico City,Suite comoda y privada CDMX (4),1 bed,"$23 $20 night$20 per night, originally $23",https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.387849233422656,-99.13148224053383
2,/rooms/810905944677696067?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688468817_JGWQJOmnE%2FyKZAgZ&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Condo in Mexico City,"Spacious & BrightSuite-18 minAirport, Roma, Zocalo",2 beds,"$31 $21 night$21 per night, originally $31",https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3883,-99.1325
3,/rooms/53248401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688468817_1D%2FEbiI0%2BMicpsLK&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Condo in Mexico City,Spacious and comfortable downtown apartment,2 double beds,"$43 $40 night$40 per night, originally $43",https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39152,-99.13314
4,/rooms/33833705?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688468817_XFkgwLDR4afcNaVf&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Apartment in Mexico City,Beautiful apartment equipped with terrace!,2 beds,$36 night$36 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3846,-99.13
5,/rooms/41034061?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688468817_1d25A8eXL9gaDtRi&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Condo in Mexico City,Comfortable entire apartment plus terrace.,1 double bed,$34 night$34 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39115,-99.13415
6,/rooms/48602647?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688468817_kqJvzHEpPWYFr%2Bki&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Condo in De Cortés,Centrally located & Confortable Apartment,2 beds,"$49 $37 night$37 per night, originally $49",https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38804,-99.13689
7,/rooms/23125673?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-21&source_impression_id=p3_1688468817_UinFwBGx%2Fyh6z3MG&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Room in De Cortés,Private bedroom,Stay with Ruby,$14 night$14 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38696,-99.13283
8,/rooms/37496282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688468817_PXFoMp6rtCwkssqj&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Apartment in Mexico City,"Complete, comfortable and safe apartment + terrace.",1 double bed,$33 night$33 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39336,-99.13296
9,/rooms/27330161?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688468817_4Qy7MaHDJfI2I02b&previous_page_section_name=1000&federated_search_id=bbb641fd-ccee-46c0-b149-7b063b838658,Home in Mexico City,Cozy and nice house,3 beds,$58 night$58 per night,https://www.airbnb.com/s/reforma-iztaccihuatl-norte--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3892,-99.1375
