,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/811022899020448756?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688461670_XggvC6bjIVtbypTX&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Stylish Suite | Gym+B/Lounge+Rooftop | 24/7 Host,2 beds,￥889 night￥889 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
1,/rooms/811024795566815369?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461670_opocI3HEHQbdHSaG&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Luxurious Suite | Rooftop w/View+24/7 Host & SEC,2 queen beds,￥886 night￥886 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
2,/rooms/49364919?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688461670_meKQXl%2FHOSOJkPbc&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,The forest corner (Polanco),2 beds,￥400 night￥400 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42985,-99.18242
3,/rooms/783963206285951669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688461670_K6c03M9Mp%2Fr1txrk&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Amazing large apartment in prime Polanco,4 beds,"￥1,161 night￥1,161 per night",https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4296,-99.1815
4,/rooms/538342904390101654?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461670_e4caikOhKTfTDPqH&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Beautiful apartment in Polanco,2 beds,￥632 night￥632 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42978,-99.18098
5,/rooms/858668619992341798?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688461670_D02t3rpm9w13bB5l&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Studio wA/C & Great View | Rooftop+B-Lounge+Gym,1 king bed,￥828 night￥828 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4295,-99.18
6,/rooms/923366328565709057?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688461670_C3TQIXjnTyvIT14V&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,NEWLY renovated luxury apartment in Polanco.,1 bed,"￥1,131 night￥1,131 per night",https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.429641207212455,-99.18254114235886
7,/rooms/816649774997769613?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461670_14moOi4Dcq08treZ&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Anzures,Polanco Private Suite,1 bed,￥308 night￥308 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42957636828631,-99.18003755394562
8,/rooms/35876457?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688461670_C0L9gosEhsP0s4Xh&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Guest suite in Anzures,"Sunny, modern, comfortable studio at Casa Levinson",2 beds,￥387 night￥387 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43006,-99.17861
9,/rooms/653617630762695552?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688461670_X9x%2Bf%2FihemdBIF7p&previous_page_section_name=1000&federated_search_id=96689deb-18b4-457d-8ef7-163e55406136,Apartment in Polanco,Elegant apartment in Polanco. Great location Masaryk,1 bed,￥605 night￥605 per night,https://www.airbnb.com/s/rincon-del-bosque--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43074,-99.1828
