,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/602383882831515007?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688443618_qb5MCgjcz9KDb4aB&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Condo in Roma Norte,Breathtaking panoramic views + King Size Bed Apt,1 king bed,"$182 $110 night$110 per night, originally $182",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42169,-99.16614
1,/rooms/924548907598297240?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688443618_BTQvlBYkK9yEsyys&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Condo in Roma Norte,Glamorous Sunset Panoramic Views,2 beds,$84 night$84 per night,https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4205,-99.1669
2,/rooms/34690498?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688443618_CCfQQ%2FWWUswT3NZs&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Loft in Roma Norte,Unique loft w/parking and rooftop in La Roma,2 beds,"$76 $64 night$64 per night, originally $76",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41613,-99.15409
3,/rooms/724681109035955074?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688443618_b%2BajUNt1thkTxWcb&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Roma Norte,Sonder Cielo | Superior Studio Apartment,2 beds,$116 night$116 per night,https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.42027,-99.16499
4,/rooms/24893426?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-29&source_impression_id=p3_1688443618_rcXV%2B7hZq0XoLCo4&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Loft in Roma Norte,"Hip Minimalistic Loft at Roma Norte Gym, AC, 24/7",2 beds,"$126 $109 night$109 per night, originally $126",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41766,-99.15786
5,/rooms/42667882?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688443618_JhyRZou%2FzJsDkId2&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Roma Norte,"The Purple Jay, NEW Flat with Amazing Street Views",1 queen bed,"$86 $63 night$63 per night, originally $86",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.417929360522628,-99.16053096235056
6,/rooms/plus/16178867?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688443618_WtWGeHonr2Q1%2F9Hm&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Condesa,Refurbished Architectural Apt with a Secret Garden in Great Roma Location.,2 beds,"$193 $123 night$123 per night, originally $193",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4175,-99.167
7,/rooms/37294845?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688443618_OjtoL6Y%2BoOuA4W2e&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Condesa,1BR private bathroom with a perfect location.,1 king bed,"$93 $64 night$64 per night, originally $93",https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41676,-99.16625
8,/rooms/50156490?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688443618_Z9R1o7uzpTfffzA9&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Roma Norte,Modern Style Premium Apt | Amazing Rooftop+Gym,1 king bed,$145 night$145 per night,https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4194,-99.1625
9,/rooms/919600243084226431?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-14&source_impression_id=p3_1688443618_QBXGJo99PSAcOaa6&previous_page_section_name=1000&federated_search_id=d4f7df2b-3f9a-4d56-b06a-41e101f7a4bc,Apartment in Roma Norte,Roma - Amazing Apt and Location,2 beds,$112 night$112 per night,https://www.airbnb.com/s/roma-norte-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.419247534351033,-99.1645517098049
