,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/728570467584789924?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688432846_qNF3NeWp4UH4ue9d&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Guest suite in Mexico City,Room in Rooftop / Portales,1 double bed,"$47 $37 night$37 per night, originally $47",https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37308,-99.13767
1,/rooms/31684258?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688432846_XF23dR%2Fk2NSmXWsS&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Mexico City,Regatas Iztacalco Private Beach 15 minutes from Foro Sol,2 beds,$26 night$26 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37644,-99.12813
2,/rooms/23437301?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688432846_Y4BoHCnV7uZSlsPk&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Room in Nativitas,Room with private bathroom and parking,Stay with Andrea,$24 night$24 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3765,-99.1377
3,/rooms/41909441?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-25&source_impression_id=p3_1688432846_TdxxzRTHDOnn3nwR&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Mexico City,"Lindo Departamento, 15 min from the Center and Coyoacán",2 beds,$34 night$34 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37137,-99.13925
4,/rooms/629629624708507169?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1688432846_CNfWdNGdYDooZ%2F9E&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Condo in Mexico City,Beautiful and comfortable condo in Mexico City,2 double beds,$50 night$50 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3727,-99.1346
5,/rooms/18152564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688432846_PCX9JO4QJa4W02tl&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Portales Oriente,Apartment in Portales Oriente (Centrally located),2 beds,$32 night$32 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36582054291943,-99.1396067701567
6,/rooms/22159588?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688432846_vk%2BcBJjZwDvrKcgl&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Portales Oriente,Great apartment just renovated with good location!,2 double beds,$39 night$39 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36606,-99.13951
7,/rooms/42314100?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688432846_j09tvB2SiRq9AHLR&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Mexico City,Full apartment with 2 bedrooms,2 beds,$35 night$35 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37963,-99.12939
8,/rooms/48266886?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688432846_YO6rdbK6ibJRcJbH&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Apartment in Mexico City,Suite con entrada independiente,1 double bed,$29 night$29 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36221011452531,-99.1304308762369
9,/rooms/922595280375059097?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688432846_hxLA3kJPDh1yC086&previous_page_section_name=1000&federated_search_id=cadb37b7-fd6e-4cf4-afe8-1b436551b096,Condo in Portales Norte,Cosy LOFT Portales,1 bed,$41 night$41 per night,https://www.airbnb.com/s/san-andres-tetepilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3698,-99.1465
