,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/37221067?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688469280_uSTsfAoor8Y4CA0Q&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Apartment in Mexico City,Beautiful apartment near the Airport/Foro Sol,2 beds,"3,448₽ night3,448₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39147,-99.12227
1,/rooms/37496282?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688469280_VM4wJq5B7BvQ5l6U&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Apartment in Iztaccihuatl,"Complete, comfortable and safe apartment + terrace.",1 double bed,"2,965₽ night2,965₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39336,-99.13296
2,/rooms/53248401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688469280_qJqNYv1ToRdjOghQ&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Condo in Iztaccihuatl,Spacious and comfortable downtown apartment,2 double beds,"3,875₽ 3,537₽ night3,537₽ per night, originally 3,875₽",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39152,-99.13314
3,/rooms/41663234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688469280_fn67Zs4D6%2BBSx4a9&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Place to stay in Viaducto Piedad,Furnished Apartment Calzada la Viga y Viaducto,1 double bed,"2,127₽ night2,127₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40404,-99.12518
4,/rooms/41034061?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688469280_MOJnE3it3n5xB60e&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Condo in Iztaccihuatl,Comfortable entire apartment plus terrace.,1 double bed,"3,045₽ night3,045₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39115,-99.13415
5,/rooms/691386622537222304?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-08&source_impression_id=p3_1688469280_dkDuFRfQnA69nClx&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Condo in Mexico City,Cozy and central apartment in Mexico City,2 beds,"3,679₽ 3,354₽ night3,354₽ per night, originally 3,679₽",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40034,-99.12168
6,/rooms/50934436?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688469280_b2Pe0cfZgSSTuUtO&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Loft in Mexico City,Centric equipped loft in Mexico City,1 double bed,"2,236₽ night2,236₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.397,-99.1326
7,/rooms/25785899?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688469280_t3uuJY%2F3cv5jaL2%2F&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Apartment in Mexico City,"Viaduct, downtown apartment, 15’ airport.",4 beds,"4,786₽ night4,786₽ per night",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3986,-99.12591
8,/rooms/805838472398722149?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688469280_aC5D1h9eOU46SssZ&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Apartment in Viaducto Piedad,Central apartment in CDMX,2 beds,"5,328₽ 4,855₽ night4,855₽ per night, originally 5,328₽",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3977,-99.1285
9,/rooms/810905944677696067?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688469280_67ZXvkhXWIUtgoeG&previous_page_section_name=1000&federated_search_id=ed64bb32-1125-4aca-878f-c92f2f4bd454,Condo in Iztaccihuatl,"Spacious & BrightSuite-18 minAirport, Roma, Zocalo",2 beds,"2,749₽ 1,857₽ night1,857₽ per night, originally 2,749₽",https://www.airbnb.com/s/san-fco-xicaltongo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3883,-99.1325
