,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/571693186732153670?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688446217_Qu2LvaUHfatPMpB8&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Loft in San Rafael,Spacious loft. Ideal for long and comfortable stays,1 bed,"¥ 5,302 night¥ 5,302 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43913,-99.16283
1,/rooms/778187457214350451?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688446217_I%2BuRmxb17kVPOgRx&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Apartment in San Rafael,Equipped Loft in SanRafa,1 bed,"¥ 7,960 ¥ 6,894 night¥ 6,894 per night, originally ¥ 7,960",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43923,-99.16412
2,/rooms/565884739706661630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688446217_wmWP66dp8fno%2B9hC&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Loft in San Rafael,"Cozy Loft, close from Historic center",1 bed,"¥ 6,443 ¥ 5,580 night¥ 5,580 per night, originally ¥ 6,443",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.438,-99.1655
3,/rooms/51882428?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688446217_FUu4TWRRcCE%2F76C9&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Apartment in San Rafael,Chic apartment @ 900m Reforma & Insurgentes,2 beds,"¥ 9,547 ¥ 8,712 night¥ 8,712 per night, originally ¥ 9,547",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43588,-99.16266
4,/rooms/40058448?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688446217_cSRATTN2ORVxUbsP&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Apartment in San Rafael,Steps away from Reforma Av with private roofgarden,2 beds,"¥ 9,299 night¥ 9,299 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.437,-99.1618
5,/rooms/766073233666194481?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688446217_mge1LJuCApnDs0x0&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Loft in San Rafael,Beautiful loft with great location,1 bed,"¥ 8,039 ¥ 6,854 night¥ 6,854 per night, originally ¥ 8,039",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4372,-99.1613
6,/rooms/894247299753754776?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-29&source_impression_id=p3_1688446217_bWLj645YbWXHOiD6&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Condo in San Rafael,Lumina apartment,2 beds,"¥ 7,918 night¥ 7,918 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43672,-99.16473
7,/rooms/4916861?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688446217_hXLinhFuhKwjf70w&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Loft in San Rafael,Charming loft. Excelent location.,1 double bed,"¥ 7,863 night¥ 7,863 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43638,-99.16074
8,/rooms/31419237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-26&check_out=2023-08-01&source_impression_id=p3_1688446217_7qU7igbhtQFjfafu&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Place to stay in San Rafael,Comfortable mini loft near Reforma,1 double bed,"¥ 6,799 night¥ 6,799 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43738,-99.16473
9,/rooms/29032671?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688446217_Y%2BT1ixOr5qAOTgnI&previous_page_section_name=1000&federated_search_id=ba2225f1-a94b-4805-ac93-a37ee8b2862c,Guest suite in San Rafael,"Comfortable private room, 1 person",1 double bed,"¥ 2,800 night¥ 2,800 per night",https://www.airbnb.com/s/san-rafael-i--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43738,-99.16271
