,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/633129657914565930?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688455949_YFRNdji4LRpeow9F&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Loft in Mexico City,Santa Fe Corporate Full Loft Suite,2 beds,$41 night$41 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35672,-99.25943
1,/rooms/plus/13914159?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688455949_vocnijGAUoViTnat&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Loft in Mexico City,"Kick Back and Relax at an Industrial, New York-Inspired Loft",1 queen bed,$50 night$50 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.34935,-99.25174
2,/rooms/907321322085489768?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-21&source_impression_id=p3_1688455949_r8BY0SjDuN596Yp6&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,"NUEVO Loft en Santa Fe, ubicación extraordinaria",2 beds,"$65 $57 night$57 per night, originally $65",https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3588,-99.2707
3,/rooms/43777185?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688455949_m9sjqhObdR87qX%2Bq&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,"Beautiful Loft in the heart of Santa Fe, High Park, High Park",2 beds,$55 night$55 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35955,-99.2677
4,/rooms/914714507202427512?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688455949_MtLuQQ%2Fr2YiVyCet&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,Máximo Glamour en Pque. La Mexicana y Expo Sta. Fe,2 beds,$73 night$73 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36313802629598,-99.26571570256668
5,/rooms/28278179?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-04&source_impression_id=p3_1688455949_l2cvOm4f7ufWhS75&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,"Apartment in Parque La Mexicana, Santa Fe CDMX",4 beds,$103 night$103 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35755,-99.27312
6,/rooms/837613957309541760?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688455949_rRL40v8A5JDC9J1s&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,Luxury experience in Santa Fe.,3 beds,$94 night$94 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3615,-99.2683
7,/rooms/837009791917345112?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688455949_IvnSAFY0G%2BHGSgU3&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Place to stay in Mexico City,5 Luciérnaga,1 bed,$85 night$85 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3483712948823,-99.29548319982464
8,/rooms/37746458?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688455949_2fG86dD8qaQYMzG%2B&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Cabin in Mexico City,Beautiful Cabaña Cd de México mountain view🏔,1 queen bed,$43 night$43 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3408,-99.2445
9,/rooms/893659454601236547?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688455949_HWP5qxrDgIJePcV2&previous_page_section_name=1000&federated_search_id=84f14525-7189-40d9-b5df-787521c7afb8,Apartment in Mexico City,Penthouse con vista a Santa Fé,4 beds,$47 night$47 per night,https://www.airbnb.com/s/santa-lucia-reacomodo--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.351481688772658,-99.24760423631626
