,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/23649534?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-10-04&check_out=2023-10-10&source_impression_id=p3_1688479821_92S25F%2Fm2%2BsCgFjN&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Boutique hotel in Santa María la Ribera,"Avant-garde room, with a beautiful view to the garden",1 king bed,$66 night$66 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
1,/rooms/31065331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688479821_v6JBTRZ72N6jOoWi&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Loft in Santa María la Ribera,"Private, ample and bright loft in Casa Mariscal.",2 queen beds,$54 night$54 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45,-99.1617
2,/rooms/23904585?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688479821_hhxzY0fIWzXq6yqu&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,Two-story apartment with private terrace,1 king bed,$122 night$122 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
3,/rooms/23666725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688479821_lhapS9qMymM1JU6O&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,Independent apartment on 3 levels and 2 bathrooms.,2 queen beds,$122 night$122 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
4,/rooms/818107029061431664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688479821_eeX95fRyzeudQqzk&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Condo in Santa María la Ribera,Dr. Atl 2BR I 1BA Hip Mexican Apartment,2 queen beds,$72 night$72 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4533,-99.1553
5,/rooms/27683518?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688479821_TGE7ibQuknMPIXpT&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,An amazing apartment in Sta. Maria la Ribera,1 queen bed,$76 night$76 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45006,-99.1619
6,/rooms/53704506?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688479821_0%2FcOHooCbiQyTKJl&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,Centrally located Santa María la Ribera Buenavista,2 beds,$61 night$61 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45343,-99.15564
7,/rooms/670176651319434602?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688479821_44yJxZmL1bG4VulD&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Condo in Santa María la Ribera,"Quiet, nice and comfortable apartment, the best.",2 beds,$63 night$63 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45363,-99.15749
8,/rooms/plus/24374918?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688479821_Fv8BLtge7FG1d4aw&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,"Departamento privado, chic y con dos bellas terrazas. Se entrega desinfectado.",1 king bed,"$119 $107 night$107 per night, originally $119",https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4499,-99.1614
9,/rooms/807320221371351924?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688479821_%2BWSYQ1F%2FGANIm1TD&previous_page_section_name=1000&federated_search_id=d13be8f2-385d-46d2-8b95-bb74931bf053,Apartment in Santa María la Ribera,"Sta María La Ribera Central Apartment, CDMX 2BR",2 double beds,$53 night$53 per night,https://www.airbnb.com/s/santa-maria-la-ribera-iv--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.453639868296197,-99.15706861657237
