,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/plus/23002001?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688441234_lZQXk59qi8nmOwNL&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Room in Santa María la Ribera,"Habitación del Embajador en Casa Mariscal, amplia, privada y frente al jardín.",Stay with Victor,￥469 night￥469 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
1,/rooms/23904585?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688441234_9kB1eRh786lTsmKg&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Apartment in Santa María la Ribera,Two-story apartment with private terrace,1 king bed,"￥1,006 night￥1,006 per night",https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
2,/rooms/22389553?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1688441234_xhIvcWAiN25OBQXi&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Loft in Buenavista,Mini Loft Monument to the Revolution,1 double bed,￥199 night￥199 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44119,-99.15123
3,/rooms/31065331?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688441234_6uXcnmEnp5tEatBj&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Loft in Santa María la Ribera,"Private, ample and bright loft in Casa Mariscal.",2 queen beds,￥447 night￥447 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45,-99.1617
4,/rooms/670176651319434602?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688441234_TsyHR56cmwqXYPkP&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Condo in Santa María la Ribera,"Quiet, nice and comfortable apartment, the best.",2 beds,￥519 night￥519 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45363,-99.15749
5,/rooms/23666725?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688441234_yF%2BjW6vmEn1ONEJU&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Apartment in Santa María la Ribera,Independent apartment on 3 levels and 2 bathrooms.,2 queen beds,"￥1,022 night￥1,022 per night",https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4495,-99.1614
6,/rooms/807320221371351924?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-29&check_out=2023-08-03&source_impression_id=p3_1688441234_TvGDPJ5mE0QAJirs&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Apartment in Santa María la Ribera,"Sta María La Ribera Central Apartment, CDMX 2BR",2 double beds,￥444 night￥444 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.453639868296197,-99.15706861657237
7,/rooms/823929762993969044?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688441234_ssnspGdYqzgP5jGg&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Apartment in Santa María la Ribera,Central apartment Santa Maria la Ribera Buenavista,2 beds,￥461 night￥461 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4545,-99.1568
8,/rooms/plus/24374918?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688441234_rhNTGWul4npv7S1P&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Apartment in Santa María la Ribera,"Departamento privado, chic y con dos bellas terrazas. Se entrega desinfectado.",1 king bed,￥888 night￥888 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4499,-99.1614
9,/rooms/23085822?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-11&check_out=2023-09-16&source_impression_id=p3_1688441234_TdsgsKTXd6f3NRRm&previous_page_section_name=1000&federated_search_id=566a947e-103c-4388-9e9e-3afbcb2d4ea6,Loft in Santa María la Ribera,Sunny  loft with a big terrace in a historic area,1 queen bed,￥850 night￥850 per night,https://www.airbnb.com/s/santa-maria--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4491,-99.1627
