,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/13544703?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688415707_TAdPp8NqWN5Fb8o3&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Loft in México ,Entire apartment totally private and central,2 king beds,"$60 $52 night$52 per night, originally $60",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4369,-99.151
1,/rooms/48614346?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-28&check_out=2023-09-02&source_impression_id=p3_1688415707_MeusYI62aQSAuL%2Bp&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,"Apartment in Col. Tabacalera, Cuauhtémoc",Great apartment at  Paseo de la Reforma,2 beds,"$71 $59 night$59 per night, originally $71",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4349,-99.1524
2,/rooms/20334937?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688415707_4C4oR6zZD0iwUuiW&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Condo in Mexico City,Reforma apartment rooftop pool,1 king bed,$82 night$82 per night,https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43374,-99.15343
3,/rooms/50703445?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-29&source_impression_id=p3_1688415707_N6sCSxV9jRguAjEs&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Apartment in Mexico City,Nice apartment on Paseo de la Reforma,2 beds,$73 night$73 per night,https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43435,-99.15421
4,/rooms/44461876?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-25&check_out=2023-09-30&source_impression_id=p3_1688415707_9C09xOdm7Pc2dcvi&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Apartment in Mexico City,Stunning views and luxurious comfort in Av Reforma,3 beds,$80 night$80 per night,https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43539,-99.15145
5,/rooms/669804703292732244?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688415707_UFZXkYMezWlcU9dv&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Condo in Mexico City,NEW APARTMENT NEAR AV REFORMA AND HISTORIC CENTER,2 beds,"$67 $53 night$53 per night, originally $67",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4366,-99.1522
6,/rooms/629721672392112307?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-19&check_out=2023-07-24&source_impression_id=p3_1688415707_svH3budXAZhS4PP6&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Condo in Mexico City,Beautiful apartment located on Avenida Reforma,1 king bed,"$64 $58 night$58 per night, originally $64",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4348,-99.1523
7,/rooms/17700938?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688415707_lVkBH%2BuLCvgGp1GU&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Condo in Mexico City,"New! Stunning 3 bdrm, Iconic Building, Down Town",5 beds,"$187 $153 night$153 per night, originally $187",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43391,-99.15099
8,/rooms/53935421?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-22&source_impression_id=p3_1688415707_lefiLanZnpRbyFZU&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Apartment in Mexico City,Amazing 1BR  Urban Retreat,1 king bed,$88 night$88 per night,https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4348,-99.1523
9,/rooms/686403442247698602?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-11&source_impression_id=p3_1688415707_GYrOB6dprE1Gc%2Fie&previous_page_section_name=1000&federated_search_id=47a7d685-2153-46a2-bd93-01c3f26c8853,Condo in Mexico City,Reforma 27! The most stylish Residential.,2 beds,"$102 $71 night$71 per night, originally $102",https://www.airbnb.com/s/tabacalera--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43441,-99.15325
