,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/863715709645649759?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688476299_M%2BU9X0tGme%2BGX7Bm&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Del Valle Sur,Departamento con rooftop,2 beds,￥341 night￥341 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37451862048618,-99.17119307142715
1,/rooms/37398071?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688476300_98F8qhNjtliRVLVd&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Del Valle Sur,Comfortable apartment in the heart of Del Valle,2 beds,￥327 night￥327 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37495,-99.17598
2,/rooms/38098192?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688476300_wi57fVzALwVkioGB&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Del Valle Sur,nice apartment in El Valle,2 beds,￥336 night￥336 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37508,-99.17508
3,/rooms/17174966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-05&check_out=2023-08-10&source_impression_id=p3_1688476300_cH%2BPSWAfodl6qxW%2F&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Loft in Del Valle Centro,Cheerful department very centric near to WTC,2 beds,￥401 night￥401 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3779,-99.1719
4,/rooms/53011524?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688476300_wpgxe3Pu9qqNcxIS&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Tlacoquemecatl del Valle,"Full apartment, Del Valle, Parking",1 small double bed,￥387 night￥387 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3762,-99.1737
5,/rooms/38101573?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688476300_ZVY0H8%2FtYnzp7jk5&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Del Valle Sur,Del Valle Moderno and Hermoso Apartment,1 bed,￥418 night￥418 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37179,-99.17364
6,/rooms/45848462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688476300_G0G%2FnYkE07jZ7KDn&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Loft in Ciudad de los Deportes,Centrally located and comfortable Loft with terrace,1 queen bed,￥415 night￥415 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.381,-99.18279
7,/rooms/883333459443022849?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688476300_mkNLNeWsXYy%2BP7pI&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Tlacoquemecatl del Valle,Classic and well located apartment in Del Valle,3 beds,￥667 night￥667 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.376111949485665,-99.17250913113563
8,/rooms/31120471?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688476300_ygUIBs4BBh1nQLDV&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Place to stay in Del Valle Sur,"INDEPENDENT sanitized room, unbeatable.",1 double bed,￥290 night￥290 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37493,-99.17019
9,/rooms/52030599?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688476300_BxLLITDJpHuN8hae&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Condo in Del Valle Centro,2-bedroom apartment in excellent location,2 beds,￥493 night￥493 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38116,-99.17218
10,/rooms/899270766153880123?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688476300_RIYbcpOvdxTwLBQN&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Del Valle Sur,"Penthouse, en la del Valle Excelente  Ubicacion",3 beds,￥721 night￥721 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.376384438228055,-99.17125972713754
11,/rooms/25181412?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688476300_WDO55qpCVSVpeSo5&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Apartment in Ciudad de los Deportes,COMFORTABLE   APARTMENT IN THE CENTER-SOUTH OF THE CDMX,3 beds,￥318 night￥318 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37931,-99.17885
12,/rooms/10584796?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-24&source_impression_id=p3_1688476300_1UiuCVuhksGZO5Lh&previous_page_section_name=1000&federated_search_id=92f45f69-d249-4bff-8798-f1e06a02636f,Guest suite in Del Valle Sur,"Minidepartment , totally independent.",2 beds,￥259 night￥259 per night,https://www.airbnb.com/s/tlacoquemecatl-del-valle--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37272,-99.17059
