,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/618030672214866586?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688455036_BQKT%2BSyYFbCIGTUt&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Condo in Nueva Santa María,Departamento Nueva Santa Maria,3 beds,€ 59 night€ 59 per night · € 292 total€ 292 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.464,-99.1668
1,/rooms/31962980?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688455036_gKl875a8cq5lm2bF&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Apartment in Mexico City,"Amazing view, comfortable, ideal work or pleasure",4 beds,€ 105 night€ 105 per night · € 525 total€ 525 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46423,-99.15986
2,/rooms/851571290681560131?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688455036_ge6MSDiRM5xnbCbC&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Condo in Nueva Santa María,Illuminated apartment,3 beds,€ 75 night€ 75 per night · € 372 total€ 372 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46286069354648,-99.16647886651104
3,/rooms/914048118740673692?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-07&source_impression_id=p3_1688455036_adCGrgR1%2BbWvrK6F&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Room in Mexico City,Estudio privado en zona céntrica,Stay with Ricardo,"€ 23 € 20 night€ 20 per night, originally € 23 · € 118 total€ 118 totalShow price breakdown",https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.461111032437373,-99.1628255333661
4,/rooms/31172579?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688455036_v9pcnVYG4kAU4EPi&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Room in Nueva Santa María,Pily Room 3,Stay with Pilar,€ 20 night€ 20 per night · € 96 total€ 96 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46604,-99.16743
5,/rooms/796577100983544259?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688455036_ynhVbHYGy8vOMZB7&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Apartment in Mexico City,Agradable Departamento con Estacionamiento,1 bed,€ 39 night€ 39 per night · € 192 total€ 192 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46085,-99.15703
6,/rooms/921398526309780297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688455036_2UVfiUPHXr05BJgD&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Apartment in Mexico City,Arena cdmx,3 beds,€ 64 night€ 64 per night · € 317 total€ 317 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.465914863307535,-99.17400632546148
7,/rooms/44148696?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688455036_9RGbiqrMvFUSYqaP&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Apartment in Nueva Santa María,Spacious and comfortable apartment Nueva Santa María,2 beds,€ 58 night€ 58 per night · € 289 total€ 289 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46077,-99.16836
8,/rooms/670176651319434602?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688455036_JwBQzA0%2F%2FtJ2%2BA47&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Condo in Santa María la Ribera,"Quiet, nice and comfortable apartment, the best.",2 beds,€ 85 night€ 85 per night · € 505 total€ 505 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45363,-99.15749
9,/rooms/543697693848338420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-07&check_out=2023-08-12&source_impression_id=p3_1688455036_TBxOKIZtK%2BeSSWr4&previous_page_section_name=1000&federated_search_id=83ff47bf-29df-4a82-b932-80ac0c2f2433,Condo in Mexico City,Depa 6 people+amenities+ swim lane,3 double beds,€ 88 night€ 88 per night · € 440 total€ 440 totalShow price breakdown,https://www.airbnb.com/s/tlatilco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4647,-99.15943
