,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/795718834951573150?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688462798_MeCCdkiqGqLu6YKJ&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Condo in San Rafael,Nice apartment with great location,2 beds,$35 night$35 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.442,-99.1676
1,/rooms/29421109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688462798_DHPxX94rxIr2wTcP&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in Anáhuac,Departamento a 5 min de Reforma 10 min de Polanco,3 beds,$48 night$48 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.439987775821262,-99.17041203563886
2,/rooms/21356550?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688462798_yT2CjaXpybVx1IQm&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in San Rafael,Renewed stunning apartment in a new building,2 beds,$53 night$53 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43915,-99.16742
3,/rooms/758653063299432732?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-23&source_impression_id=p3_1688462798_PFM69fjc2uvn67vt&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Condo in Anáhuac,Beautiful double suite,2 double beds,$31 night$31 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44499,-99.172
4,/rooms/688492924514221487?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-11&check_out=2023-08-16&source_impression_id=p3_1688462798_RvGGu0gD2swEDqj1&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Condo in Anáhuac,Excellent apartment 7 minutes from Reforma and Polanco,3 beds,"$50 $45 night$45 per night, originally $50",https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.441034232713324,-99.1711173740703
5,/rooms/849164163123698024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-06&check_out=2023-09-11&source_impression_id=p3_1688462798_JD%2FA7vsQ4BD5PLpc&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in Anáhuac,Céntrico y acogedor cerca de Polanco.,3 beds,$35 night$35 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.439,-99.1712
6,/rooms/50616763?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688462798_BacUNSx5UJO%2FTmll&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Loft in San Rafael,Suite_3 private Indoor Circuit-Reforma-Polanco,2 beds,$41 night$41 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44148117468322,-99.1682228489819
7,/rooms/48774671?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688462798_UKLThVCKhQehvDow&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in San Rafael,Cozy apartment near Reforma,2 beds,"$44 $37 night$37 per night, originally $44",https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43633,-99.16994
8,/rooms/760066658796863406?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688462798_t0Cpqv295UWIub5T&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Condo in Anáhuac,Hermosa suite,1 double bed,$31 night$31 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44504,-99.17237
9,/rooms/746199440783442227?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688462798_e1GYtFwGucifYXV7&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Condo in San Rafael,Central apartment in CDMX,2 queen beds,$64 night$64 per night,https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.439301389734585,-99.16745644636153
10,/rooms/565884739706661630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688462798_gM5f78b044TfCb5p&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Loft in San Rafael,"Cozy Loft, close from Historic center",1 bed,"$40 $34 night$34 per night, originally $40",https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.438,-99.1655
11,/rooms/903549687183797066?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688462798_4nCCZqvSqhBxWz4i&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in San Rafael,#Tucasasanrafael,1 bed,"$48 $43 night$43 per night, originally $48",https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4377,-99.1666
12,/rooms/926819091589876388?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688462798_0ZFp5nOidNEpQcyQ&previous_page_section_name=1000&federated_search_id=a91880e1-8101-472c-856c-7996f00935e7,Apartment in Anáhuac,Hermoso departamento te espera,2 beds,"$47 $38 night$38 per night, originally $47",https://www.airbnb.com/s/tlaxpana--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.44465,-99.17177
