,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/6475335?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688416199_PJHB31%2BJOTnuwsrt&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Room in Mexico City,Centrally located room with bathroom and kitchen (A3),Stay with Luis,$20 night$20 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39238,-99.19361
1,/rooms/830432569689941231?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688416199_Qvq10y5x9e6r%2FupI&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Apartment in Mexico City,Unbeatable Views from the Private Roof and Balcony,3 beds,$60 night$60 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.388658019430718,-99.19481021844494
2,/rooms/40284362?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-17&source_impression_id=p3_1688416199_auO%2ByDinl76htsAt&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Apartment in Mexico City,"Beautiful WiFi apartment, gym, Alberca, C-Store",3 beds,$58 night$58 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38868,-99.19481
3,/rooms/845623339380204769?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-06&check_out=2023-08-11&source_impression_id=p3_1688416199_5ExsvZarAhHpniwi&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Apartment in Mexico City,Wake up with unique views of CDMX: Roof & Balcony,4 beds,$84 night$84 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.388560671563244,-99.19458935786575
4,/rooms/36799495?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688416199_FSnkK8q2pKq%2Bo9QT&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Loft in San Pedro de los Pinos,Workspace with High-Speed Internet in Mexico City,2 beds,$43 night$43 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3926,-99.1878
5,/rooms/49246231?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688416199_vsYqqzQMB5Vmn8Y%2B&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Apartment in Mexico City,"Moderno departamento, descanso o viaje de negocios",3 beds,$48 night$48 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38763,-99.19431
6,/rooms/882062364958465649?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688416199_Qphff9bzzE%2FizFWj&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Condo in Mexico City,"Green Bubble *Acogedor, céntrico y práctico*",2 beds,$49 night$49 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.394,-99.1881
7,/rooms/40506118?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688416199_tmgJ2fsqht3pHmPK&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Room in Mexico City,Warm and beautiful central suite for 2 (A1),Stay with Luis,$20 night$20 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39079,-99.19513
8,/rooms/41190462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-11&check_out=2023-07-16&source_impression_id=p3_1688416199_meW1Fd7CM8f0L6rK&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Condo in Mexico City,"Incredible views of CDMX , downtown and gym.",2 beds,$64 night$64 per night,https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38697,-99.19625
9,/rooms/757992345207067758?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688416199_EUvQwaLu9PLCUaAf&previous_page_section_name=1000&federated_search_id=3bb058fc-858c-4a7b-a20a-4ca3a99f6215,Loft in Tacubaya,Comodidad + Balcón & Terraza / 14 minutos Condesa,1 bed,"$34 $28 night$28 per night, originally $34",https://www.airbnb.com/s/tolteca--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.396507391049255,-99.19043281363034
