,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/735601745121695397?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688456858_vW%2FppTBzDrH1KEW%2F&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Guesthouse in Mexico City,"Roof Garden Amazing Room with Bathroom, Mixcoac",1 double bed,$27 night$27 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37442,-99.19082
1,/rooms/755032284539473108?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688456858_mowr0h9hao%2FBVYye&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Room in Mexico City,"Espectacular Tapanco, Mixcoac.",Stay with Estefany Elizabeth,$19 night$19 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37482,-99.18998
2,/rooms/576120264311132398?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688456858_AbihOfHgpdYythRs&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Guesthouse in Mexico City,"Roof Garden  Modern 2 level Loft , Mixcoac",2 double beds,$45 night$45 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37491,-99.19004
3,/rooms/50854295?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688456858_%2FZfE1D1OUL6ahUvg&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Apartment in Mexico City,Beautiful apartment  near Manacar Square.,2 beds,$74 night$74 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3691,-99.1882
4,/rooms/563166273989919480?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-12&source_impression_id=p3_1688456858_7Gl7QKyxFXirQYJH&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Condo in Mexico City,Beautiful Chic apartment with pool and gym,3 beds,"$97 $85 night$85 per night, originally $97",https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37286,-99.18663
5,/rooms/22433148?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688456858_gznyl32inLWodm%2FA&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Guest suite in Mexico City,Leonardo's Palomar,2 beds,$29 night$29 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3784,-99.19151
6,/rooms/52388382?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-13&source_impression_id=p3_1688456858_k5ieaezyZXbzVNz6&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Loft in Mexico City,Luxurious minimalist apartment with an excellent location.,1 double bed,$42 night$42 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36923,-99.18498
7,/rooms/9975837?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688456858_q8BmCLUIbFqJIVLo&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Room in Mexico City,The palm house,Stay with Mildred Sabine,$29 night$29 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36813,-99.18757
8,/rooms/665826558750792581?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688456858_y3ADXw19bLe%2B5Rw2&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Room in Mexico City,Stay with Angel Alí,Stay with Angel Alí,$15 night$15 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37161,-99.18953
9,/rooms/9988410?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688456859_025eqF9CDoWZ5E6x&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Home in San Juan,19th Century House Garden Studio,1 queen bed,$73 night$73 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37758,-99.18654
10,/rooms/34709225?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688456859_vlK1yBtpsYtsK92L&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Room in Mexico City,"In room in apartment, traditional neighborhood",Stay with Ricardo,$33 night$33 per night,https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3786,-99.1845
11,/rooms/47890844?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688456859_2NnOh0KuQUt7466v&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Home in Mexico City,☼CasaVintageW☼Luxury🕶 ⛍3Parking🎞NETFLIX🎜Alexas✓,7 beds,"$263 $154 night$154 per night, originally $263",https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36898,-99.18647
12,/rooms/600155042120252474?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688456859_cESQ4t1KqkPdV5CI&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Room in Mexico City,4 Mixcoac a 20min de condesa y Polanco,Stay with David,"$14 $13 night$13 per night, originally $14",https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37412,-99.19558
13,/rooms/910295594726977988?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688456859_nIkFAHWM%2BNMM57bW&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Loft in Mexico City,Loft Estudio Ciudad de México,1 queen bed,"$114 $94 night$94 per night, originally $114",https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38069093481546,-99.18723994548799
14,/rooms/656653904518093475?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688456859_fIkLWX%2BrpYh7xmZU&previous_page_section_name=1000&federated_search_id=ae36b4dc-5ffb-4dfa-a24f-887f8bb5ac99,Condo in Mexico City,Urban Mexican apartment in the heart of Mixcoac,3 beds,"$72 $65 night$65 per night, originally $72",https://www.airbnb.com/s/torres-de-mixcoac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36899,-99.19062
