,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/911871000228412879?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_iX%2FtqTi%2Fkw8o0IpN&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Federal,Departamento moderno en CDMX,4 beds,"$166 $133 night$133 per night, originally $166",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4184,-99.095
1,/rooms/700034901856100454?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688406506_55Uoa9yRHhVnRgd3&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Loft in Federal,Penthouse hermoso a solo 5 min del aeropuerto.,4 beds,$213 night$213 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4184,-99.095
2,/rooms/53920386?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_XKCM%2FVKqY5Qxdr15&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Room in Valentin Gomez Farias,Cozy Beautiful Private Room Close to Airport,Stay with Isaac,"$106 $54 night$54 per night, originally $106",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41672,-99.09468
3,/rooms/712310421672651204?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_4ttH2mIjoOdtS2b4&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Loft in Federal,Loft hermoso a 5 minutos del Aeropuerto,4 beds,$135 night$135 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4184,-99.095
4,/rooms/20590954?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_1qgtCGIdOV15uBt2&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Ignacio Zaragoza,Depto5 eco-friendly minutes from CDMX Airport,2 double beds,$48 night$48 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41581,-99.09481
5,/rooms/20690894?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_K8mMYhcYWgeo%2FUJI&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Ignacio Zaragoza,Eco-friendly apartment minutes from CDMX Airport 1,1 double bed,$38 night$38 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.416,-99.09294
6,/rooms/814508931479202540?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688406506_4Jg2Enby6HkL5RJp&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Federal,Airport2 RnR,1 bed,$44 night$44 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.418750519231015,-99.09116230977449
7,/rooms/552233920325144669?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_J0lpBYGadPkbYaIK&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Ignacio Zaragoza,Autodromo Dept Hnos. Rodríguez- CDMX Airport,2 double beds,$42 night$42 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41155,-99.09212
8,/rooms/53920447?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_%2FXCr4%2BXAKRHcI7nQ&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Bed and breakfast in Valentin Gomez Farias,Private room near CDMX Airport,1 queen bed,"$78 $55 night$55 per night, originally $78",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41709,-99.09645
9,/rooms/40659168?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_Is9A2OkYJ6UUuc8p&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Ignacio Zaragoza,Apartament/Airport T1 T2/Autodromo Hnos.Rodriguez,2 beds,$29 night$29 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41273,-99.08914
10,/rooms/17862531?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688406506_qCCk%2BSMMV6b9UI9b&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Ignacio Zaragoza,"Autodromo, Foro Sol and Airport",5 beds,$91 night$91 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41229,-99.09134
11,/rooms/552222760438370099?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_ZZk1mBVeZAs%2Bm5iQ&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Loft in Ignacio Zaragoza,Loft Autódromo Hermanos Rodríguez - CDMX Airport,1 double bed,$30 night$30 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41212,-99.09012
12,/rooms/860215391344810828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688406506_0TWiRyCasdz%2F11O6&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Condo in Ignacio Zaragoza,Apt. search for forum sol/airport,5 beds,$81 night$81 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41083598041342,-99.09039312164784
13,/rooms/40086816?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688406506_rsYDOXY5GuUvJOCg&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Federal,Depto House Living1|Aeropuerto|Foro Sol|PalacioDep,1 king bed,$40 night$40 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41826,-99.08641
14,/rooms/628506359136720420?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688406506_dqYhhXn5lVmqZrHq&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Condo in Federal,Stay 5 minutes from the Airport!!,2 double beds,"$62 $50 night$50 per night, originally $62",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4238,-99.0882
15,/rooms/600195692185182931?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_YFkSPEPjLV10wsnZ&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Room in Ignacio Zaragoza,Nice apartment near the airport and sun forum,Stay with Linda,$32 night$32 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41374,-99.09385
16,/rooms/46068574?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688406506_KbcZAOC6o%2BqubpQL&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Apartment in Federal,Depto House Living2|Aeropuerto|Foro Sol|PalacioDep,1 king bed,$40 night$40 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41777,-99.0864
17,/rooms/883397299895387877?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406506_sVFgxXRQYt2AZWzz&previous_page_section_name=1000&federated_search_id=e70ed4d9-7aa9-4ed2-ad82-0bd6eac810b8,Guesthouse in Ignacio Zaragoza,"Casa de Huéspedes El Pueblito ""Habitación Mazunte""",1 double bed,"$30 $21 night$21 per night, originally $30",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.409905891758143,-99.0923610655917
18,/rooms/757446078678893572?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688406537_GoJIc71LeDJvEv4n&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Condo in Mexico City,"Foro Sol-Palacio sports, CDMX airport.",2 beds,$64 night$64 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41085,-99.09529
19,/rooms/599457354214495246?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406537_XAz%2Fkmku1FX4IRfO&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Condo in Mexico City,Home Sweet Home: 5MinArpt/Autodromo/ForoSol/PalDep,2 beds,"$48 $40 night$40 per night, originally $48",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.42091,-99.08577
20,/rooms/911871000228412879?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406537_4dt6cm9onQYeGPtQ&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Apartment in Mexico City,Departamento moderno en CDMX,4 beds,"$166 $133 night$133 per night, originally $166",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.4184,-99.095
21,/rooms/54055348?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688406537_KT8yne9SM8TyauR3&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Vacation home in Mexico City,Airport1 RnR,1 double bed,$44 night$44 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.42033,-99.09149
22,/rooms/860215391344810828?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-14&check_out=2023-07-19&source_impression_id=p3_1688406537_%2FRBXdTFvbJWJ4k1A&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Condo in Mexico City,Apt. search for forum sol/airport,5 beds,$81 night$81 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41083598041342,-99.09039312164784
23,/rooms/761077923782200109?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-15&source_impression_id=p3_1688406537_cmIhXedps%2ByFmYaO&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Condo in Mexico City,"Nice, comfortable and cozy apartment",2 beds,$32 night$32 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41376,-99.10156
24,/rooms/883397299895387877?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-03&check_out=2023-07-08&source_impression_id=p3_1688406537_RkbEfzyiiL46ZG%2Fd&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Guesthouse in Mexico City,"Casa de Huéspedes El Pueblito ""Habitación Mazunte""",1 double bed,"$30 $21 night$21 per night, originally $30",https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.409905891758143,-99.0923610655917
25,/rooms/23808422?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688406537_Rgq5Z3R9W82sk%2Bzl&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Condo in Mexico City,SPACIOUS APARTMENT LOCATED IN FORO SOL AIRPORT,3 beds,$64 night$64 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.40907,-99.09358
26,/rooms/34645560?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688406537_jE%2BVIrdqAyHK0gnQ&previous_page_section_name=1000&federated_search_id=4bb3076b-05be-49f2-a09d-b6d91f72185e,Apartment in Mexico City,Petit Suite Near to International Airport,1 double bed,$29 night$29 per night,https://www.airbnb.com/s/valentin-gomez-farias--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=18,19.41844,-99.09925
