,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/23169730?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688438229_CP0w8zBWReooNGv8&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Guest suite in Magdalena de Las Salinas,Bungalow.,1 double bed,$29 night$29 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48636,-99.14442
1,/rooms/35428119?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688438229_YwTPkz%2B3LAds0w1r&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Home in Mexico City,Aunt's house,2 beds,$41 night$41 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48808,-99.14839
2,/rooms/734989770836824132?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688438229_cf4%2FjS50zdW9fshr&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Apartment in Mexico City,Hermoso depto en residencial privado zona céntrica,3 beds,$36 night$36 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49515,-99.14302
3,/rooms/42410623?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-27&check_out=2023-09-01&source_impression_id=p3_1688438229_PyPl1XwKgmi4ZhpC&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Condo in Mexico City,"Department in CDMX, North Area",5 beds,$79 night$79 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48595,-99.14914
4,/rooms/44449617?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688438229_fCtsVkZty5CrUpST&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Apartment in Lindavista,Mexico City cozy apartment w/balcony,2 beds,$46 night$46 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48998,-99.13254
5,/rooms/42410361?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-17&check_out=2023-07-22&source_impression_id=p3_1688438229_gNiXt1sXLATb2WYU&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Condo in Mexico City,"Apartment in CDMX, North Zone",2 beds,$64 night$64 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.48633,-99.1489
6,/rooms/40751900?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-23&source_impression_id=p3_1688438229_1VfN%2FfsDCIcKaUEG&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Apartment in Lindavista,Lindavista mega location.,2 beds,$47 night$47 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49047,-99.133
7,/rooms/33592353?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-23&check_out=2023-07-28&source_impression_id=p3_1688438229_eZsITG%2FdSXVZbXPm&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Room in Lindavista,SEPARATE ROOM FOR 1 PERSON IN CDMX,Stay with Paula,$13 night$13 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.49221,-99.13927
8,/rooms/39225472?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-20&check_out=2023-08-25&source_impression_id=p3_1688438229_unrPiGwq8vRYBHAi&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Loft in Lindavista,Loft Mexico City,2 beds,$51 night$51 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4865,-99.1279
9,/rooms/763072589992569724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688438229_iuIowZHNXKLhEcFq&previous_page_section_name=1000&federated_search_id=6d7e2942-b734-49dd-bb3b-2bbe3cceeef1,Apartment in Mexico City,"CDMX Studio Apartment, North Zone",2 beds,$59 night$59 per night,https://www.airbnb.com/s/valle-del-tepeyac--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.487991952721345,-99.14914928871421
