,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/29036646?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688467886_H0NXPN%2BUnGLwxIjG&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Apartment in Mexico City,Apartment. nearby Reforma Airport Basilica Autódromo,3 beds,"$56 $48 night$48 per night, originally $56",https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4583,-99.1235
1,/rooms/752093030028308114?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688467886_zXSH9KU0HfokunQ7&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Loft in Mexico City,Apartment in Mexico City,3 beds,"$48 $43 night$43 per night, originally $48",https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45846,-99.12282
2,/rooms/52756025?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-30&check_out=2023-08-04&source_impression_id=p3_1688467886_hKlCTyBiKjTCUZ2s&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Condo in Mexico City,Convenient downtown apartment for long stays,2 beds,$35 night$35 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45548,-99.12285
3,/rooms/607728055267808941?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-10&check_out=2023-07-15&source_impression_id=p3_1688467886_0wzjv7SZZ75pUlY6&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Condo in Mexico City,Entire apartment in a central area and well designed,1 bed,$32 night$32 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45911,-99.12312
4,/rooms/46065532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688467886_Fy1VvtORsyJm3dtz&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Condo in Guadalupe Tepeyac,Cozy Tepeyac stay centrally located,5 beds,$70 night$70 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46343,-99.1208
5,/rooms/48552745?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-08&check_out=2023-07-13&source_impression_id=p3_1688467886_jtoOD7jLkJJPMkib&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Condo in Guadalupe Tepeyac,Modern Entero De Luxury Apartment Extra Equipped,2 double beds,$45 night$45 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.46673,-99.11685
6,/rooms/40622077?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-16&check_out=2023-08-21&source_impression_id=p3_1688467886_zicDRztCNvBbNGbF&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Apartment in Mexico City,"10min Zócalo, Basilica, Airport, Autódromo",5 beds,$43 night$43 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45879,-99.12277
7,/rooms/914121419778645910?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-09-18&check_out=2023-09-23&source_impression_id=p3_1688467886_uLjRNINeYarDiSWd&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Apartment in Mexico City,2 departamentos una ubicación,4 beds,"$111 $89 night$89 per night, originally $111",https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.45889,-99.12281
8,/rooms/41556417?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-24&check_out=2023-07-30&source_impression_id=p3_1688467886_WfrotMxxnX9Or36E&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Apartment in Guadalupe Tepeyac,Centric apartment with private rooftop,3 beds,$53 night$53 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.464,-99.1199
9,/rooms/919797172022186430?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688467886_5euGe5juIfyjjiWy&previous_page_section_name=1000&federated_search_id=9df45104-d2d6-4542-aeea-982235b0d247,Condo in Mexico City,Cómodo y céntrico apartamento para una persona.,1 double bed,$35 night$35 per night,https://www.airbnb.com/s/valle-gomez--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4561,-99.124
