,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/926421573472841190?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-25&check_out=2023-07-30&source_impression_id=p3_1688446666_t%2FUNV6acAF7ifYyV&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Anzures,Sky-High 3BR PentHouse ScenicViews Polanco/Reforma,5 beds,"$178 $143 night$143 per night, originally $178",https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.432478537364837,-99.1730065007966
1,/rooms/913726283762985005?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-16&check_out=2023-07-21&source_impression_id=p3_1688446666_PdWgZBhNpC2X8K2t&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Loft in Anáhuac,Luxury Tech Loft,2 beds,$53 night$53 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43744354806814,-99.17335422494841
2,/rooms/812173707493925097?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688446666_6%2FBA1Xt1cOEKVWbd&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Verónica Anzures,5min Reforma/Polanco/Embassies/120 Mega/,3 beds,$70 night$70 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.436,-99.1736
3,/rooms/18626251?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688446666_OGBU%2B3tFydlySeov&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Verónica Anzures,♡Perfect Location♡Long Stay♡Polanco Reforma♡,2 double beds,$58 night$58 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43715,-99.17451
4,/rooms/33114630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688446666_I0RuphPEjnTodMmr&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Polanco,Apartment in Mexico City,3 beds,"$148 $118 night$118 per night, originally $148",https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.438668885722848,-99.181786517822
5,/rooms/25457189?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-13&source_impression_id=p3_1688446666_Jz%2BrSb%2BQBzOyk1SG&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Anáhuac,Ideal home office near Polanco,2 beds,"$95 $83 night$83 per night, originally $95",https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43658,-99.17675
6,/rooms/883503073056417876?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688446666_Q5zVqWcMB27a1KAI&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Verónica Anzures,Increíble y centrico depto 4pers,2 beds,$57 night$57 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4368,-99.1739
7,/rooms/33707630?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-23&source_impression_id=p3_1688446666_0WWDJ0Mnv8DVpAs9&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in Anzures,Outdoor Patio Luxury 3BD Apartment,3 beds,$261 night$261 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43653,-99.1767
8,/rooms/603759300375562706?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-20&check_out=2023-07-25&source_impression_id=p3_1688446666_SFoh8W0HjDRw4Ec3&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Condo in Anzures,Industrial style apartment near Polanco!,3 beds,$95 night$95 per night,https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43475,-99.17641
9,/rooms/33910357?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688446666_FdiL012KxTAS801J&previous_page_section_name=1000&federated_search_id=c1d46181-72ef-4439-b4c4-cc0c2340c274,Apartment in San Rafael,"Close to Circuit and Reformation, lighted apartment.",1 bed,"$48 $40 night$40 per night, originally $48",https://www.airbnb.com/s/veronica-anzures--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.43605,-99.16948
