,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/729877740332802726?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-12&source_impression_id=p3_1688452325_YJ4wDF%2BH90Gj%2B4Go&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Condo in Jardin Balbuena,"Foro sol, in front of the Palacio de los Deportes",6 beds,"€ 140 € 125 night€ 125 per night, originally € 140 · € 871 total€ 871 totalShow price breakdown",https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4073,-99.1083
1,/rooms/45941287?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688452325_7qlHDtl%2F1nNnF5b1&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Condo in Jardin Balbuena,"Nice studio, excellent location:10min airport",2 single beds,€ 72 night€ 72 per night · € 360 total€ 360 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40664,-99.10945
2,/rooms/580704761446104772?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688452325_TKFAJBzYTvcAJIJc&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Apartment in Jardin Balbuena,"Modern, cozy apartment, close to Foro Sol",4 beds,"€ 60 € 56 night€ 56 per night, originally € 60 · € 389 total€ 389 totalShow price breakdown",https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40812,-99.10871
3,/rooms/631277740836585532?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688452325_7WCOzyk1Gy6HQsr7&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Apartment in Jardin Balbuena,Apartment a few steps from Foro Sol and P. Sports,3 beds,€ 148 night€ 148 per night · € 739 total€ 739 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4082,-99.1078
4,/rooms/785484771967062728?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688452325_yXwhu8lNoV6MybXe&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Apartment in Granjas México,Nice apartment in Mexico City,2 beds,€ 60 night€ 60 per night · € 420 total€ 420 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3983,-99.1058
5,/rooms/921954264178740041?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688452325_DUCSargsUYS3YA%2Bo&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Apartment in Jardin Balbuena,"Departamento cerca de Foro sol, aeropuerto, 2 pers",1 bed,€ 63 night€ 63 per night · € 314 total€ 314 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41514,-99.10799
6,/rooms/867375482706026455?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688452325_HwVx27i3mUIEFFrw&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Loft in Jardin Balbuena,Cómodo y privado loft con terraza “Colibrí”,1 double bed,€ 58 night€ 58 per night · € 286 total€ 286 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.413857398813487,-99.11227979478873
7,/rooms/765436861003206024?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688452325_4%2FqDeFbXPQsEFYEe&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Apartment in Granjas México,"apartment near Foro Sol, Palacio Deport and Airplane",1 bed,€ 69 night€ 69 per night · € 341 total€ 341 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4041,-99.1132
8,/rooms/45940324?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-04&check_out=2023-08-09&source_impression_id=p3_1688452325_KEz92WjBWx1NdaKe&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Condo in Jardin Balbuena,"Comfortable apartment, excellent location: 10mi airport",5 beds,€ 118 night€ 118 per night · € 590 total€ 590 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40616,-99.10934
9,/rooms/23732812?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688452325_2KpUpjyrkpGCLD6X&previous_page_section_name=1000&federated_search_id=974a8018-9e4b-4bb3-8945-c7c6d945aea2,Room in Jardin Balbuena,Comfortable room near the airport.(with tub),Stay with Mich,€ 32 night€ 32 per night · € 192 total€ 192 totalShow price breakdown,https://www.airbnb.com/s/viaducto----balbuena-)conj-hab)--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.41475,-99.10413
