,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/834000738163380235?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688430928_wXlNhKZCBqwrWKZU&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,Cozy space near downtown,2 double beds,$51 night$51 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4012787938799,-99.13109879680962
1,/rooms/48301996?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688430928_aWl7a%2FRd1EqUfqCv&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,Cozy and centrally located suite with king-size bed,1 king bed,$29 night$29 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40369,-99.13028
2,/rooms/41663234?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688430928_aGdSDmovz2jdIc5S&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Place to stay in Viaducto Piedad,Furnished Apartment Calzada la Viga y Viaducto,1 double bed,$21 night$21 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40404,-99.12518
3,/rooms/579970081878632673?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688430928_IdGxqtinPeLdgIAO&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,Suite 1 Close to City Center and Airport,1 king bed,$29 night$29 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40286,-99.12973
4,/rooms/23000807?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-01&check_out=2023-08-06&source_impression_id=p3_1688430928_oMGdip3pNwSOY87q&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Room in Viaducto Piedad,Small and cute bathroom space * 15' airport,Stay with Mónica,$16 night$16 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40108,-99.12585
5,/rooms/584392414151597698?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688430928_NbQGi5MRHheQKSY5&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,Suite 2 Close to Historic Center and Airport,1 king bed,$29 night$29 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40477,-99.13104
6,/rooms/47007658?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688430928_pwnlaQ%2BKrjoOsS1N&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Room in Álamos,C.Acogedor studio Colonia Asturias well located.,Stay with Lilia,$19 night$19 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40288,-99.13481
7,/rooms/50934436?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688430928_ZiXLGkiJyv9AvHbP&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Loft in Mexico City,Centric equipped loft in Mexico City,1 double bed,$22 night$22 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.397,-99.1326
8,/rooms/632568357684263784?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688430928_Gh5HKpxrlZy0vKHH&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Mexico City,Depa 10 minutes from the Palacio de los Deportes and AICM,4 beds,"$54 $49 night$49 per night, originally $54",https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4041,-99.1238
9,/rooms/877638366368428752?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688430928_ypjc3tIfAT4Iuyko&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Condo in Viaducto Piedad,Bello y acogedor: céntrico y tranquilo,1 bed,$32 night$32 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3975,-99.1349
10,/rooms/20781967?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-13&check_out=2023-07-18&source_impression_id=p3_1688430928_%2F8UMgJSgpSmTR5mA&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Condo in Álamos,Apartment near downtown Mexico,1 double bed,$22 night$22 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4015,-99.13672
11,/rooms/53248401?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688430928_W%2BV%2Fko6FoY%2Fx60t6&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Condo in Iztaccihuatl,Spacious and comfortable downtown apartment,2 double beds,"$38 $34 night$34 per night, originally $38",https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.39152,-99.13314
12,/rooms/596555080208591715?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-05&check_out=2023-07-10&source_impression_id=p3_1688430928_tLtJJgVFIZVvPuRP&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,CENTRIC ASTURIAS APARTMENT,1 bed,$39 night$39 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40549,-99.12993
13,/rooms/53797977?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688430928_ggp0hvHd%2FeApIXVf&previous_page_section_name=1000&federated_search_id=d68970db-e939-4f59-a3d0-66d7bec3a11c,Apartment in Viaducto Piedad,APARTMENT 7 COZY IN CDMXA 20 MIN FORO SOL,2 beds,$40 night$40 per night,https://www.airbnb.com/s/viaducto-piedad--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.4039,-99.13179
