,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/728570467584789924?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688433330_%2B08OcgqsM%2BtD8jEn&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Guest suite in Mexico City,Room in Rooftop / Portales,1 double bed,"¥ 7,549 ¥ 6,128 night¥ 6,128 per night, originally ¥ 7,549",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37308,-99.13767
1,/rooms/20763888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-31&check_out=2023-08-05&source_impression_id=p3_1688433330_FMeDVhcb0QNPvh3T&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,"Family apartment, central and security 24 hours",3 beds,"¥ 6,341 night¥ 6,341 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3744,-99.1396
2,/rooms/767272925999551437?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688433330_eQbBPAU%2Fz9wd3Qbg&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,"Central apartment, 24-hour security.",2 beds,"¥ 8,845 night¥ 8,845 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37185,-99.13867
3,/rooms/23437301?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-12&check_out=2023-07-17&source_impression_id=p3_1688433330_xeBK4jI28wFqX4tn&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Room in Mexico City,Room with private bathroom and parking,Stay with Andrea,"¥ 3,936 night¥ 3,936 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3765,-99.1377
4,/rooms/909279429982435072?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688433330_y7vs72YIPIimYbGl&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,B VGN-14 Loft Tlalpan Portales para 2 personas,1 bed,"¥ 2,545 night¥ 2,545 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37672096256108,-99.13895813593867
5,/rooms/50287230?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688433330_QgiucGRvH9o8wirS&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,Villa Basilio is a nice place to get to know  cdmx,1 bed,"¥ 3,415 night¥ 3,415 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37227,-99.1437
6,/rooms/41909441?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-18&check_out=2023-07-25&source_impression_id=p3_1688433330_Lrg4D%2FceC97wiAM%2B&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,"Lindo Departamento, 15 min from the Center and Coyoacán",2 beds,"¥ 5,759 night¥ 5,759 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37137,-99.13925
7,/rooms/51291172?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-06&check_out=2023-07-11&source_impression_id=p3_1688433330_5LjQw6%2Bty8a8BKl9&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,Apartment with excellent location (central),2 beds,"¥ 6,830 night¥ 6,830 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.37575,-99.14063
8,/rooms/922595280375059097?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-14&source_impression_id=p3_1688433330_mswkOZHQRyGdRcjU&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Condo in Mexico City,Cosy LOFT Portales,1 bed,"¥ 6,758 night¥ 6,758 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3698,-99.1465
9,/rooms/18152564?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-09&check_out=2023-07-15&source_impression_id=p3_1688433330_sqmeu19zVTIQu4Rh&previous_page_section_name=1000&federated_search_id=d8804ec2-ea9e-412d-858e-03715670f52c,Apartment in Mexico City,Apartment in Portales Oriente (Centrally located),2 beds,"¥ 5,400 night¥ 5,400 per night",https://www.airbnb.com/s/zacahuitzco--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.36582054291943,-99.1396067701567
