,url,name,name_alt,rooms,price,sp_url,lat,lng
0,/rooms/871929409545682012?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688442666_wu9j87ONYeJJUthl&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Home in Mexico City,Hermosa casa céntrica con jardín,3 beds,$24 night$24 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3554,-99.0874
1,/rooms/920552941055573297?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688442666_C1d9VGiu8Dx9jDKA&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in Mexico City,"NEW Mexico City Condo, UAM",2 beds,"$46 $37 night$37 per night, originally $46",https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35083,-99.07565
2,/rooms/39034022?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-10&source_impression_id=p3_1688442666_%2BMI2BDIEYed4UV30&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in México DF,Comfortable apartment in Iztapalapa 5 minutes from UAM DF,3 beds,$46 night$46 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35697,-99.06841
3,/rooms/44522610?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-15&check_out=2023-07-20&source_impression_id=p3_1688442666_I7PzNLD3ihWobL%2Bq&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in Mexico City,Nice apartment near Central Abastos,2 double beds,$33 night$33 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.38605,-99.09293
4,/rooms/863091049071591664?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-08-17&check_out=2023-08-22&source_impression_id=p3_1688442666_21wfpGHtKYaIJouY&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in Mexico City,Hermoso Departamento,2 beds,$24 night$24 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.35608706515036,-99.08825847363688
5,/rooms/52853526?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-07&check_out=2023-07-14&source_impression_id=p3_1688442666_pWyCla21RHsmchII&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Condo in Mexico City,Kala Apartment: Comfortable Nest,1 double bed,$26 night$26 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3826,-99.0847
6,/rooms/836523666757694505?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688442666_Rw3U9v8A2%2FkfUF9Q&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Home in Mexico City,House near Foro Sol and CDMx Airport,3 beds,"$60 $53 night$53 per night, originally $60",https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3887,-99.0811
7,/rooms/770332528689091785?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-11&source_impression_id=p3_1688442666_EhNMaOZjCFJKLPd0&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in Mexico City,Beautiful apartment in Foro Sol y P De los depor,2 beds,"$53 $45 night$45 per night, originally $53",https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3987,-99.0906
8,/rooms/922470638088067821?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-04&check_out=2023-07-09&source_impression_id=p3_1688442666_G%2Fpr9AIAJ1hwLDjA&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Apartment in Mexico City,Departamento muy cerca del Aeropuerto y Foro Sol,3 beds,$37 night$37 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.40189909060801,-99.06757286224298
9,/rooms/581957409386424888?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&check_in=2023-07-22&check_out=2023-07-27&source_impression_id=p3_1688442666_UnmrffMHLAI6d%2B9A&previous_page_section_name=1000&federated_search_id=23c086a3-0b27-46b2-a514-60100c2b0af9,Loft in Mexico City,Beautiful loft with free parking.,3 beds,$47 night$47 per night,https://www.airbnb.com/s/zapotla--Mexico-City/homes?tab_id=home_tab&refinement_paths%5B%5D=%2Fhomes&flexible_trip_lengths%5B%5D=one_week&monthly_start_date=2023-07-01&monthly_length=3&price_filter_input_type=0&price_filter_num_nights=5&channel=EXPLORE&date_picker_type=calendar&source=structured_search_input_header&search_type=search_query&items_offset=0,19.3512,-99.05305
