Año Censal,Entidad,Municipio,Actividad económica,UE Unidades económicas,J000A Total de remuneraciones (millones de pesos),H001A Personal ocupado total
2018,01 Aguascalientes,001 Aguascalientes,Total municipal,40547,24434.641,260249.0
2018,01 Aguascalientes,002 Asientos,Total municipal,845,171.849,3671.0
2018,01 Aguascalientes,003 Calvillo,Total municipal,2038,464.895,8618.0
2018,01 Aguascalientes,004 Cosío,Total municipal,334,176.758,2290.0
2018,01 Aguascalientes,005 Jesús María,Total municipal,4197,5411.548,49203.0
2018,01 Aguascalientes,006 Pabellón de Arteaga,Total municipal,1729,224.696,5776.0
2018,01 Aguascalientes,007 Rincón de Romos,Total municipal,1867,410.877,6304.0
2018,01 Aguascalientes,008 San José de Gracia,Total municipal,354,19.791,1125.0
2018,01 Aguascalientes,009 Tepezalá,Total municipal,495,137.349,2899.0
2018,01 Aguascalientes,010 El Llano,Total municipal,326,84.903,1684.0
2018,01 Aguascalientes,011 San Francisco de los Romo,Total municipal,1207,3521.182,28126.0
2018,02 Baja California,001 Ensenada,Total municipal,18335,9850.357,121831.0
2018,02 Baja California,002 Mexicali,Total municipal,29280,27991.352,268086.0
2018,02 Baja California,003 Tecate,Total municipal,3221,3070.754,31421.0
2018,02 Baja California,004 Tijuana,Total municipal,50340,60039.008,584216.0
2018,02 Baja California,005 Playas de Rosarito,Total municipal,4039,2634.806,28778.0
2018,03 Baja California Sur,001 Comondú,Total municipal,3425,486.219,12908.0
2018,03 Baja California Sur,002 Mulegé,Total municipal,2337,1433.749,13017.0
2018,03 Baja California Sur,003 La Paz,Total municipal,12010,3853.691,68682.0
2018,03 Baja California Sur,008 Los Cabos,Total municipal,11960,6708.442,125402.0
2018,03 Baja California Sur,009 Loreto,Total municipal,869,252.894,5008.0
2018,04 Campeche,001 Calkiní,Total municipal,3178,362.763,9545.0
2018,04 Campeche,002 Campeche,Total municipal,12356,2954.5,58866.0
2018,04 Campeche,003 Carmen,Total municipal,10094,20741.358,88677.0
2018,04 Campeche,004 Champotón,Total municipal,3480,532.719,13749.0
2018,04 Campeche,005 Hecelchakán,Total municipal,929,43.065,2400.0
2018,04 Campeche,006 Hopelchén,Total municipal,847,43.079,1864.0
2018,04 Campeche,007 Palizada,Total municipal,352,14.891,1072.0
2018,04 Campeche,008 Tenabo,Total municipal,423,75.347,1719.0
2018,04 Campeche,009 Escárcega,Total municipal,2208,174.42,5967.0
2018,04 Campeche,010 Calakmul,Total municipal,492,44.888,1364.0
2018,04 Campeche,011 Candelaria,Total municipal,916,58.382,2675.0
2018,05 Coahuila de Zaragoza,001 Abasolo,Total municipal,24,0.686,49.0
2018,05 Coahuila de Zaragoza,002 Acuña,Total municipal,4209,7572.769,69800.0
2018,05 Coahuila de Zaragoza,003 Allende,Total municipal,742,307.137,4546.0
2018,05 Coahuila de Zaragoza,004 Arteaga,Total municipal,424,1848.689,17671.0
2018,05 Coahuila de Zaragoza,005 Candela,Total municipal,59,6.07,163.0
2018,05 Coahuila de Zaragoza,006 Castaños,Total municipal,900,464.376,6834.0
2018,05 Coahuila de Zaragoza,007 Cuatro Ciénegas,Total municipal,420,162.593,1674.0
2018,05 Coahuila de Zaragoza,008 Escobedo,Total municipal,16,15.344,523.0
2018,05 Coahuila de Zaragoza,009 Francisco I. Madero,Total municipal,1726,505.796,9012.0
2018,05 Coahuila de Zaragoza,010 Frontera,Total municipal,2584,3886.542,32725.0
